x,y,Hx,Hy,Hz,Ex,Ey,Ez
0,57,-1.54751e-18,-6.6651e-18,-1.50432e-20,8.04126e-18,-1.87494e-18,8.00376e-25
0,58,-6.23907e-18,4.13693e-18,3.2247e-21,-4.98887e-18,-7.49728e-18,1.28825e-23
0,59,-5.99488e-18,8.50391e-19,-1.29846e-20,-1.01598e-18,-7.23516e-18,-3.3899e-24
0,60,4.17174e-18,2.41478e-18,2.1414e-20,-2.9234e-18,5.04242e-18,-3.0487e-24
0,61,1.17241e-18,-5.96235e-18,-9.83431e-21,7.19255e-18,1.40706e-18,-2.57979e-24
0,62,1.64398e-18,-8.73037e-19,9.31976e-21,1.04184e-18,1.98018e-18,-2.66955e-24
0,63,2.01873e-18,-3.11234e-18,-1.10142e-20,3.75642e-18,2.42625e-18,7.63331e-25
0,64,1.88563e-18,2.12657e-20,-2.80302e-21,-2.95207e-20,2.26633e-18,-6.78005e-25
0,65,9.10187e-20,2.19707e-18,1.26318e-20,-2.65225e-18,1.13932e-19,2.2561e-24
0,66,5.91435e-19,-4.29388e-18,-1.08272e-20,5.18028e-18,7.13026e-19,-9.99702e-25
0,67,-5.86417e-18,1.35477e-18,-2.74095e-21,-1.63476e-18,-7.06673e-18,3.28802e-24
0,68,-6.87977e-19,3.914e-18,1.38599e-20,-4.7197e-18,-8.122e-19,-1.99731e-25
0,69,2.67122e-20,-1.84858e-18,-2.18151e-20,2.2424e-18,1.97363e-20,-3.75881e-24
0,70,-4.6794e-18,7.47357e-18,1.38113e-20,-9.01389e-18,-5.62217e-18,7.61758e-24
0,71,-6.63398e-18,2.52776e-19,-1.63299e-20,-2.89907e-19,-8.00804e-18,-2.33792e-24
0,72,2.93785e-18,8.57386e-19,4.0297e-21,-1.04186e-18,3.54126e-18,-4.09464e-24
0,73,-4.06363e-18,5.61506e-19,-1.27154e-20,-6.6796e-19,-4.90366e-18,5.50821e-24
0,74,4.96253e-18,1.13853e-18,7.7465e-21,-1.38036e-18,5.98155e-18,-1.70696e-24
0,75,-8.91972e-20,-5.78633e-19,1.3461e-20,6.93844e-19,-1.0155e-19,7.58656e-24
0,76,6.98132e-19,-5.56671e-18,5.58439e-21,6.70511e-18,8.47658e-19,1.29855e-24
0,77,-7.56687e-18,-2.0777e-18,-3.13104e-20,2.5188e-18,-9.1281e-18,7.6537e-24
0,78,2.36236e-18,6.98061e-18,2.92601e-20,-8.43236e-18,2.86555e-18,6.21853e-25
0,79,-5.25814e-19,-8.11054e-18,-2.86171e-20,9.79131e-18,-6.6315e-19,-4.44498e-24
0,80,2.13659e-18,5.77546e-18,2.18941e-20,-6.97677e-18,2.59531e-18,6.15073e-24
0,81,1.23682e-18,-5.54595e-18,-2.317e-20,6.69787e-18,1.47034e-18,-7.16244e-24
0,82,7.93088e-18,4.52062e-18,1.43032e-20,-5.45993e-18,9.56529e-18,1.74939e-25
0,83,4.26664e-19,-9.9384e-19,3.88055e-21,1.20139e-18,5.10353e-19,1.37287e-24
0,84,-5.06236e-18,2.01206e-18,-6.84739e-21,-2.41705e-18,-6.09715e-18,5.95687e-24
0,85,-1.05803e-18,2.01761e-18,9.64285e-21,-2.43673e-18,-1.26782e-18,-2.32701e-24
0,86,-4.71438e-18,-6.80474e-19,-7.2769e-21,8.27251e-19,-5.68258e-18,2.79348e-24
0,87,-6.97466e-19,1.2976e-18,-1.8284e-21,-1.56469e-18,-8.40171e-19,7.18665e-26
0,88,4.08618e-18,2.82568e-18,1.15372e-20,-3.408e-18,4.92491e-18,-2.35759e-24
0,89,-2.06991e-18,3.54084e-19,-1.49638e-20,-4.13603e-19,-2.50713e-18,2.87095e-24
0,90,8.7956e-18,-1.70737e-18,2.26146e-20,2.03743e-18,1.06121e-17,-6.91991e-24
0,91,1.79441e-18,-7.92832e-18,-2.53103e-20,9.56719e-18,2.13542e-18,-4.00109e-24
0,92,3.47962e-18,2.96412e-18,2.28386e-20,-3.59128e-18,4.20896e-18,1.87135e-24
0,93,-5.4633e-18,-2.95491e-18,-1.30108e-20,3.57431e-18,-6.58913e-18,3.08821e-24
0,94,-1.80655e-18,-2.73758e-18,-2.0121e-21,3.29031e-18,-2.17284e-18,-2.7824e-24
0,95,-7.79665e-18,8.21653e-19,-1.13531e-20,-9.84667e-19,-9.39532e-18,3.73897e-24
0,96,2.80719e-18,3.40437e-18,1.84799e-20,-4.11251e-18,3.39009e-18,-6.53721e-24
0,97,2.68414e-18,-1.46081e-18,-3.03041e-21,1.76883e-18,3.22932e-18,-1.15767e-24
0,98,9.45512e-18,-2.22178e-19,1.84319e-20,2.57216e-19,1.14044e-17,-3.0907e-24
0,99,1.54763e-18,-1.97215e-18,-7.80983e-21,2.38666e-18,1.85304e-18,2.98951e-24
0,100,6.60413e-18,2.40872e-18,3.79493e-20,-2.92153e-18,7.97468e-18,-5.13462e-25
0,101,-9.79913e-19,-8.94955e-18,-2.44312e-20,1.08035e-17,-1.19778e-18,-6.16782e-25
0,102,2.50009e-18,-7.10816e-19,3.70762e-21,8.42263e-19,3.01606e-18,6.53984e-25
0,103,-3.56036e-18,8.27834e-19,-1.1099e-20,-9.89499e-19,-4.29243e-18,6.82801e-24
0,104,-8.89976e-19,1.36356e-18,-9.06748e-21,-1.64246e-18,-1.0775e-18,8.26966e-25
0,105,5.21422e-19,-1.02481e-19,-1.051e-20,1.24058e-19,6.2854e-19,2.84831e-24
0,106,-3.25861e-19,7.53425e-18,-1.8684e-21,-9.07405e-18,-4.00512e-19,3.28741e-24
0,107,3.70635e-19,3.88909e-18,1.01361e-20,-4.68752e-18,4.47096e-19,1.87185e-24
0,108,-1.45072e-18,-2.871e-18,-9.51977e-21,3.46557e-18,-1.74863e-18,1.12611e-24
0,109,2.65755e-18,-3.72314e-19,4.24134e-21,4.4163e-19,3.20093e-18,-3.73232e-24
